VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR            FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK   INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL N_THRESH THRESH_1 OY_1 ON_1 THRESH_2 OY_2 ON_2 THRESH_3 OY_3 ON_3 THRESH_4 OY_4 ON_4 THRESH_5
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.1)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1804 HIRA_SQUARE 4           ==0.25000   >0.1       NA         NA    PCT          79        5        0    0   77     0.25    0    2      0.5    0    0     0.75    0    0        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.25)  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1804 HIRA_SQUARE 4           ==0.25000   >0.25      NA         NA    PCT          79        5        0    0   78     0.25    0    1      0.5    0    0     0.75    0    0        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.5)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1804 HIRA_SQUARE 4           ==0.25000   >0.5       NA         NA    PCT          79        5        0    0   79     0.25    0    0      0.5    0    0     0.75    0    0        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>1.0)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1804 HIRA_SQUARE 4           ==0.25000   >1.0       NA         NA    PCT          79        5        0    0   79     0.25    0    0      0.5    0    0     0.75    0    0        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>1.5)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1804 HIRA_SQUARE 4           ==0.25000   >1.5       NA         NA    PCT          79        5        0    0   79     0.25    0    0      0.5    0    0     0.75    0    0        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>2.0)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1804 HIRA_SQUARE 4           ==0.25000   >2.0       NA         NA    PCT          79        5        0    0   79     0.25    0    0      0.5    0    0     0.75    0    0        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0)     kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1805 NEAREST     1           ==0.25000   >0         NA         NA    PCT          45        5        0    0   42     0.25    3    0      0.5    0    0     0.75    0    0        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.1)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1805 NEAREST     1           ==0.25000   >0.1       NA         NA    PCT          45        5        0    0   42     0.25    3    0      0.5    0    0     0.75    0    0        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.25)  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1805 NEAREST     1           ==0.25000   >0.25      NA         NA    PCT          45        5        0    0   42     0.25    3    0      0.5    0    0     0.75    0    0        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.5)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1805 NEAREST     1           ==0.25000   >0.5       NA         NA    PCT          45        5        0    3   42     0.25    0    0      0.5    0    0     0.75    0    0        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>1.0)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1805 NEAREST     1           ==0.25000   >1.0       NA         NA    PCT          45        5        0    3   42     0.25    0    0      0.5    0    0     0.75    0    0        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>1.5)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1805 NEAREST     1           ==0.25000   >1.5       NA         NA    PCT          45        5        0    0   45     0.25    0    0      0.5    0    0     0.75    0    0        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>2.0)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1805 NEAREST     1           ==0.25000   >2.0       NA         NA    PCT          45        5        0    0   45     0.25    0    0      0.5    0    0     0.75    0    0        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0)     kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1805 HIRA_SQUARE 4           ==0.25000   >0         NA         NA    PCT          45        5        0    0   42     0.25    3    0      0.5    0    0     0.75    0    0        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.1)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1805 HIRA_SQUARE 4           ==0.25000   >0.1       NA         NA    PCT          45        5        0    0   42     0.25    3    0      0.5    0    0     0.75    0    0        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.25)  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1805 HIRA_SQUARE 4           ==0.25000   >0.25      NA         NA    PCT          45        5        0    0   42     0.25    3    0      0.5    0    0     0.75    0    0        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.5)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1805 HIRA_SQUARE 4           ==0.25000   >0.5       NA         NA    PCT          45        5        0    3   42     0.25    0    0      0.5    0    0     0.75    0    0        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>1.0)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1805 HIRA_SQUARE 4           ==0.25000   >1.0       NA         NA    PCT          45        5        0    3   42     0.25    0    0      0.5    0    0     0.75    0    0        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>1.5)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1805 HIRA_SQUARE 4           ==0.25000   >1.5       NA         NA    PCT          45        5        0    0   45     0.25    0    0      0.5    0    0     0.75    0    0        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>2.0)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1805 HIRA_SQUARE 4           ==0.25000   >2.0       NA         NA    PCT          45        5        0    0   45     0.25    0    0      0.5    0    0     0.75    0    0        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0)     kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1806 NEAREST     1           ==0.25000   >0         NA         NA    PCT          78        5        0    0   78     0.25    0    0      0.5    0    0     0.75    0    0        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.1)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1806 NEAREST     1           ==0.25000   >0.1       NA         NA    PCT          78        5        0    0   78     0.25    0    0      0.5    0    0     0.75    0    0        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.25)  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1806 NEAREST     1           ==0.25000   >0.25      NA         NA    PCT          78        5        0    0   78     0.25    0    0      0.5    0    0     0.75    0    0        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.5)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1806 NEAREST     1           ==0.25000   >0.5       NA         NA    PCT          78        5        0    0   78     0.25    0    0      0.5    0    0     0.75    0    0        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>1.0)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1806 NEAREST     1           ==0.25000   >1.0       NA         NA    PCT          78        5        0    0   78     0.25    0    0      0.5    0    0     0.75    0    0        1
